FilePath,URL,Title,Description,Keywords
data/files/file0.html,https://www.goal.com/,"Soccer News, Live Scores, Results & Transfers | Goal.com US","The latest soccer news, live scores, results, rumours, transfers, fixture schedules, table standings and player profiles from around the world, including UEFA Champions League.",
data/files/file1.html,https://www.goal.com/en-us/match/chelsea-v-tottenham-hotspur/efde2ymhoiv62bs4z7vqgd5p0,"Chelsea v Tottenham Hotspur Live Commentary & Result, 1/23/22, Premier League | Goal.com","Premier League Live Commentary for Chelsea v Tottenham Hotspur on January 23, 2022, includes full match statistics and key events, instantly updated.","Chelsea,Tottenham Hotspur,January 23, 2022,Premier League"
data/files/file2.html,https://www.goal.com/en-us/match/chelsea-v-tottenham-hotspur/preview/efde2ymhoiv62bs4z7vqgd5p0,"Chelsea v Tottenham Hotspur Match Preview, 1/23/22, Premier League | Goal.com","Premier League match preview for Chelsea v Tottenham Hotspur on January 23, 2022, includes latest club news, team head to head form, as well as last five matches.","Chelsea,Tottenham Hotspur,January 23, 2022,Premier League"
data/files/file3.html,https://www.goal.com/en-us/news/chelsea-wizard-ziyech-ajax-form-stamford-bridge-gloom/bltd87320488bb2ff42,Chelsea wizard Ziyech finally finding his Ajax form to lift Stamford Bridge gloom | Goal.com,"Hakim Ziyech&#039;s stunning strike helped Chelsea record a 2-0 win over Tottenham on Sunday, as the Blues ended a run of four Premier League games without a victory","Chelsea,Hakim Ziyech,Chelsea v Tottenham Hotspur,Premier League,Features &amp; Opinions"
data/files/file4.html,https://www.goal.com/en-us/news/chelsea-no-joy-admits-tuchel/bltc0d5155aec63ea21,"'There is no joy' - Tired Chelsea have lost their way, admits Tuchel  | Goal.com",Thomas Tuchel admitted there is no joy at Chelsea after the club failed to win a league match for the sixth time in seven tries on Tuesday in a 1-1 draw with Brighton.,"Chelsea,Premier League,Thomas Tuchel,Brighton &amp; Hove Albion v Chelsea,Videos"
data/files/file5.html,https://www.goal.com/en-us,"Soccer News, Live Scores, Results & Transfers | Goal.com US","The latest soccer news, live scores, results, rumours, transfers, fixture schedules, table standings and player profiles from around the world, including UEFA Champions League.",
data/files/file6.html,https://www.goal.com/en-us/match/crystal-palace-v-liverpool/efh06nuhia3zkgbcxvi7lqz9w,"Crystal Palace v Liverpool Live Commentary & Result, 1/23/22, Premier League | Goal.com","Premier League Live Commentary for Crystal Palace v Liverpool on January 23, 2022, includes full match statistics and key events, instantly updated.","Crystal Palace,Liverpool,January 23, 2022,Premier League"
data/files/file7.html,https://www.goal.com/en-us/team/crystal-palace/1/1c8m2ko0wxq1asfkuykurdr0y,"Crystal Palace News, Page 1 of 45 | Goal.com","Crystal Palace news archive, page 1 of 45.",
data/files/file8.html,https://www.goal.com/en-us/match/brighton-hove-albion-v-crystal-palace/ee4sj743flpi20508y42yhd04,"Brighton & Hove Albion v Crystal Palace Live Commentary & Result, 1/14/22, Premier League | Goal.com","Premier League Live Commentary for Brighton &amp; Hove Albion v Crystal Palace on January 14, 2022, includes full match statistics and key events, instantly updated.","Brighton &amp; Hove Albion,Crystal Palace,January 14, 2022,Premier League"
data/files/file9.html,https://www.goal.com/en-us/match/brighton-hove-albion-v-crystal-palace/news/ee4sj743flpi20508y42yhd04,"Brighton & Hove Albion v Crystal Palace News, 1/14/22, Premier League | Goal.com","Latest news for Brighton &amp; Hove Albion v Crystal Palace in Premier League on January 14, 2022, including team, injury, line-up, preview &amp; prediction news.","Brighton &amp; Hove Albion,Crystal Palace,January 14, 2022,Premier League"
